date,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,switch_komu,price_action,previous_price_action,predicted_trend
2024-12-11,96656.062,101913.359,95747.227,101173.031,85391409936.0,97949.625,96321.067,97135.346,84544.252,101173.031,0,59258.726,59381.708,Bullish
2024-12-12,101167.805,102524.914,99339.953,100043.0,72073983533.0,97949.625,96321.067,97135.346,84544.252,100043.0,0,59258.726,59381.708,Bullish
2024-12-13,100046.648,101888.805,99233.281,101459.258,56894751583.0,97949.625,96647.031,97298.328,84544.252,101459.258,0,59258.726,59381.708,Bullish
2024-12-14,101451.438,102618.883,100634.055,101372.969,40422968793.0,98470.071,97163.726,97816.898,84711.131,101372.969,0,59258.726,59381.708,Bullish
2024-12-15,101373.531,105047.539,101227.031,104298.695,51145914137.0,99684.399,97909.176,98796.787,85284.666,104298.695,0,59258.726,59381.708,Bullish
2024-12-16,104293.578,107780.578,103322.984,106029.719,91020417816.0,101050.918,99275.695,100163.307,87070.586,106029.719,0,59258.726,59381.708,Bullish
2024-12-17,106030.688,108268.445,105291.734,106140.602,68589364868.0,101294.852,99519.629,100407.24,87536.046,106140.602,0,59258.726,59381.708,Bullish
2024-12-18,106147.297,106470.609,100041.539,100041.539,93865656139.0,101294.852,99519.629,100407.24,87536.046,100041.539,0,59258.726,59381.708,Bullish
2024-12-19,100070.688,102748.148,95587.68,97490.953,97221662392.0,101928.062,99519.629,100723.845,87536.046,97490.953,0,59258.726,59381.708,Bullish
2024-12-20,97484.695,98098.914,92175.18,97755.93,105634083408.0,100221.812,99519.629,99870.72,87536.046,97755.93,0,59258.726,59381.708,Bullish
2024-12-21,97756.195,99507.102,96426.523,97224.727,51765334294.0,100221.812,99519.629,99870.72,87536.046,97224.727,0,59258.726,59381.708,Bullish
2024-12-22,97218.32,97360.266,94202.188,95104.938,43147981314.0,100221.812,100023.554,100122.683,87536.046,95104.938,0,59258.726,59381.708,Bullish
2024-12-23,95099.391,96416.211,92403.133,94686.242,65239002919.0,100221.812,100133.613,100177.713,87536.046,94686.242,0,59258.726,59381.708,Bullish
2024-12-24,94684.344,99404.062,93448.016,98676.094,47114953674.0,100221.812,100133.613,100177.713,87536.046,98676.094,0,59258.726,59381.708,Bullish
2024-12-25,98675.914,99478.75,97593.469,99299.195,33700394629.0,100221.812,100133.613,100177.713,87536.046,99299.195,0,59258.726,59381.708,Bullish
2024-12-26,99297.695,99884.57,95137.883,95795.516,47054980873.0,99322.894,100133.613,99728.254,87863.656,95795.516,0,59258.726,59381.708,Bullish
2024-12-27,95704.977,97294.844,93310.742,94164.859,52419934565.0,97461.664,100133.613,98797.639,88795.238,94164.859,0,59258.726,59381.708,Bullish
